date,open,high,low,close
"2022-09-09 10:44:00",17897,17897,17894,17895
"2022-09-09 10:45:00",17894,17894,17891,17893
"2022-09-09 10:46:00",17893,17896,17891,17891
"2022-09-09 10:47:00",17891,17891,17887,17890
"2022-09-09 10:48:00",17890,17894,17889,17891
"2022-09-09 10:49:00",17891,17893,17891,17891
"2022-09-09 10:50:00",17892,17892,17889,17890
"2022-09-09 10:51:00",17890,17891,17886,17886
"2022-09-09 10:52:00",17888,17889,17885,17888
"2022-09-09 10:53:00",17888,17888,17886,17888
"2022-09-09 10:54:00",17886,17892,17886,17891
"2022-09-09 10:55:00",17891,17895,17890,17891
"2022-09-09 10:56:00",17890,17895,17890,17894
"2022-09-09 10:57:00",17895,17898,17894,17898
"2022-09-09 10:58:00",17898,17900,17897,17897
"2022-09-09 10:59:00",17897,17900,17897,17900
"2022-09-09 11:00:00",17898,17900,17894,17894
"2022-09-09 11:01:00",17893,17894,17888,17888
"2022-09-09 11:02:00",17888,17894,17888,17894
"2022-09-09 11:03:00",17894,17894,17888,17890
"2022-09-09 11:04:00",17891,17892,17888,17888
"2022-09-09 11:05:00",17889,17890,17884,17884
"2022-09-09 11:06:00",17884,17885,17880,17884
"2022-09-09 11:07:00",17886,17887,17883,17887
"2022-09-09 11:08:00",17886,17888,17883,17887
"2022-09-09 11:09:00",17887,17889,17885,17886
"2022-09-09 11:10:00",17886,17889,17882,17886
"2022-09-09 11:11:00",17887,17888,17883,17883
"2022-09-09 11:12:00",17883,17886,17881,17881
"2022-09-09 11:13:00",17881,17883,17880,17882
"2022-09-09 11:14:00",17883,17889,17883,17883
"2022-09-09 11:15:00",17884,17885,17877,17877
"2022-09-09 11:16:00",17876,17877,17872,17872
"2022-09-09 11:17:00",17871,17875,17868,17873
"2022-09-09 11:18:00",17873,17877,17872,17877
"2022-09-09 11:19:00",17878,17880,17874,17874
"2022-09-09 11:20:00",17874,17877,17872,17872
"2022-09-09 11:21:00",17872,17872,17868,17868
"2022-09-09 11:22:00",17868,17869,17864,17866
"2022-09-09 11:23:00",17866,17872,17865,17868
"2022-09-09 11:24:00",17869,17869,17864,17867
"2022-09-09 11:25:00",17867,17874,17865,17873
"2022-09-09 11:26:00",17874,17878,17871,17876
"2022-09-09 11:27:00",17876,17877,17874,17876
"2022-09-09 11:28:00",17877,17877,17875,17876
"2022-09-09 11:29:00",17876,17882,17876,17881
"2022-09-09 11:30:00",17881,17882,17878,17879
"2022-09-09 11:31:00",17879,17880,17877,17879
"2022-09-09 11:32:00",17879,17880,17874,17874
"2022-09-09 11:33:00",17875,17877,17874,17875
"2022-09-09 11:34:00",17875,17877,17872,17872
"2022-09-09 11:35:00",17872,17873,17862,17862
"2022-09-09 11:36:00",17861,17866,17861,17866
"2022-09-09 11:37:00",17866,17867,17862,17864
"2022-09-09 11:38:00",17864,17867,17863,17866
"2022-09-09 11:39:00",17866,17868,17865,17867
"2022-09-09 11:40:00",17867,17867,17860,17860
"2022-09-09 11:41:00",17860,17861,17856,17856
