Date,Open,High,Low,Close
2022-08-18 13:15:00,17901,17911,17900,17909
2022-08-18 13:20:00,17909,17913,17903,17903
2022-08-18 13:25:00,17904,17911,17901,17909
2022-08-18 13:30:00,17909,17912,17903,17906
2022-08-18 13:35:00,17907,17909,17902,17902
2022-08-18 13:40:00,17902,17906,17891,17894
2022-08-18 13:45:00,17895,17903,17893,17901
2022-08-18 13:50:00,17901,17902,17885,17893
2022-08-18 13:55:00,17894,17897,17889,17893
2022-08-18 14:00:00,17893,17894,17884,17891
2022-08-18 14:05:00,17891,17909,17891,17895
2022-08-18 14:10:00,17894,17916,17893,17915
2022-08-18 14:15:00,17915,17919,17911,17912
2022-08-18 14:20:00,17913,17922,17912,17917
2022-08-18 14:25:00,17918,17919,17914,17917
2022-08-18 14:30:00,17916,17927,17915,17925
2022-08-18 14:35:00,17925,17934,17924,17930
2022-08-18 14:40:00,17929,17942,17929,17939
2022-08-18 14:45:00,17939,17950,17939,17947
2022-08-18 14:50:00,17947,17948,17934,17940
2022-08-18 14:55:00,17941,17952,17940,17947
2022-08-18 15:00:00,17947,17955,17941,17943
2022-08-18 15:05:00,17944,17964,17943,17964
2022-08-18 15:10:00,17965,17965,17956,17957
2022-08-18 15:15:00,17957,17960,17952,17954
2022-08-18 15:20:00,17955,17964,17946,17964
2022-08-18 15:25:00,17964,17968,17961,17964
2022-08-18 15:30:00,17965,17965,17965,17965
2022-08-19 09:15:00,17974,17989,17954,17969
2022-08-19 09:20:00,17966,17979,17952,17974
2022-08-19 09:25:00,17973,17977,17959,17963
2022-08-19 09:30:00,17963,17979,17956,17958
2022-08-19 09:35:00,17958,17958,17936,17937
2022-08-19 09:40:00,17937,17961,17934,17956
2022-08-19 09:45:00,17952,17960,17941,17960
2022-08-19 09:50:00,17961,17972,17961,17964
2022-08-19 09:55:00,17963,17964,17949,17953
2022-08-19 10:00:00,17954,17958,17949,17952
2022-08-19 10:05:00,17952,17963,17951,17952
2022-08-19 10:10:00,17952,17969,17945,17963
2022-08-19 10:15:00,17963,17969,17962,17962
2022-08-19 10:20:00,17962,17966,17958,17964
2022-08-19 10:25:00,17965,17966,17953,17958
2022-08-19 10:30:00,17957,17961,17954,17958
2022-08-19 10:35:00,17958,17958,17951,17956
2022-08-19 10:40:00,17957,17959,17953,17958
2022-08-19 10:45:00,17959,17965,17956,17961
2022-08-19 10:50:00,17961,17961,17935,17935
2022-08-19 10:55:00,17935,17935,17917,17924
2022-08-19 11:00:00,17923,17935,17902,17903
2022-08-19 11:05:00,17901,17906,17858,17873
2022-08-19 11:10:00,17871,17887,17865,17881
2022-08-19 11:15:00,17879,17893,17875,17891
2022-08-19 11:20:00,17891,17896,17871,17871
2022-08-19 11:25:00,17871,17871,17828,17841
2022-08-19 11:30:00,17841,17841,17814,17828
2022-08-19 11:35:00,17828,17830,17802,17803
2022-08-19 11:40:00,17804,17821,17789,17789
2022-08-19 11:45:00,17787,17822,17786,17816
2022-08-19 11:50:00,17822,17834,17808,17814
2022-08-19 11:55:00,17815,17821,17813,17815
2022-08-19 12:00:00,17815,17817,17785,17801
2022-08-19 12:05:00,17802,17806,17791,17803
2022-08-19 12:10:00,17802,17808,17799,17805
2022-08-19 12:15:00,17804,17809,17791,17791
2022-08-19 12:20:00,17792,17794,17770,17770
2022-08-19 12:25:00,17770,17774,17743,17745
2022-08-19 12:30:00,17744,17761,17728,17761
2022-08-19 12:35:00,17760,17788,17760,17788
2022-08-19 12:40:00,17787,17798,17779,17779
2022-08-19 12:45:00,17780,17796,17775,17778
2022-08-19 12:50:00,17779,17783,17774,17781
2022-08-19 12:55:00,17781,17786,17762,17772
2022-08-19 13:00:00,17772,17799,17772,17798
2022-08-19 13:05:00,17797,17810,17792,17810
2022-08-19 13:10:00,17810,17817,17806,17811
2022-08-19 13:15:00,17810,17822,17804,17804
2022-08-19 13:20:00,17804,17816,17794,17813
2022-08-19 13:25:00,17813,17820,17807,17809
2022-08-19 13:30:00,17808,17811,17795,17795
2022-08-19 13:35:00,17796,17800,17761,17762
2022-08-19 13:40:00,17763,17782,17760,17775
2022-08-19 13:45:00,17775,17780,17764,17771
2022-08-19 13:50:00,17771,17772,17732,17740
2022-08-19 13:55:00,17740,17753,17732,17751
2022-08-19 14:00:00,17751,17752,17711,17724
2022-08-19 14:05:00,17725,17745,17723,17744
2022-08-19 14:10:00,17745,17774,17742,17763
2022-08-19 14:15:00,17764,17784,17764,17777
2022-08-19 14:20:00,17778,17784,17763,17775
2022-08-19 14:25:00,17775,17801,17771,17799
2022-08-19 14:30:00,17799,17801,17781,17793
2022-08-19 14:35:00,17791,17796,17776,17785
2022-08-19 14:40:00,17785,17794,17779,17790
2022-08-19 14:45:00,17790,17804,17787,17795
2022-08-19 14:50:00,17795,17795,17756,17769
2022-08-19 14:55:00,17769,17781,17766,17776
2022-08-19 15:00:00,17776,17791,17760,17783
2022-08-19 15:05:00,17783,17786,17772,17783
2022-08-19 15:10:00,17783,17786,17764,17765
2022-08-19 15:15:00,17765,17767,17757,17759
2022-08-19 15:20:00,17760,17764,17736,17736
2022-08-19 15:25:00,17738,17739,17726,17727
2022-08-19 15:30:00,17728,17728,17728,17728
2022-08-22 09:15:00,17688,17688,17633,17671
2022-08-22 09:20:00,17671,17679,17618,17629
2022-08-22 09:25:00,17629,17636,17615,17623
2022-08-22 09:30:00,17623,17643,17608,17623
2022-08-22 09:35:00,17623,17627,17599,17604
2022-08-22 09:40:00,17604,17613,17594,17603
2022-08-22 09:45:00,17604,17610,17584,17597
2022-08-22 09:50:00,17595,17615,17586,17613
2022-08-22 09:55:00,17614,17631,17610,17618
2022-08-22 10:00:00,17618,17620,17586,17592
2022-08-22 10:05:00,17591,17595,17573,17586
2022-08-22 10:10:00,17585,17587,17575,17580
2022-08-22 10:15:00,17581,17592,17576,17591
2022-08-22 10:20:00,17590,17599,17575,17579
2022-08-22 10:25:00,17579,17588,17569,17578
2022-08-22 10:30:00,17579,17590,17576,17584
2022-08-22 10:35:00,17585,17585,17568,17568
2022-08-22 10:40:00,17569,17571,17555,17556
2022-08-22 10:45:00,17556,17567,17553,17558
2022-08-22 10:50:00,17558,17574,17555,17566
2022-08-22 10:55:00,17565,17569,17557,17559
2022-08-22 11:00:00,17559,17579,17553,17572
2022-08-22 11:05:00,17574,17577,17545,17548
2022-08-22 11:10:00,17547,17564,17545,17562
2022-08-22 11:15:00,17562,17567,17558,17562
2022-08-22 11:20:00,17563,17567,17559,17560
2022-08-22 11:25:00,17560,17568,17548,17565
2022-08-22 11:30:00,17565,17569,17561,17563
2022-08-22 11:35:00,17562,17566,17558,17561
2022-08-22 11:40:00,17560,17561,17557,17561
2022-08-22 11:45:00,17562,17575,17559,17575
2022-08-22 11:50:00,17575,17578,17569,17574
2022-08-22 11:55:00,17573,17573,17567,17570
2022-08-22 12:00:00,17570,17577,17564,17570
